S_No,PLR #,Year,Date,Incident,Status,Machine,Priority,Responsible Department,,,
132,109,2020,23-Sep-20,"1. On Sept 23rd, 2020, voltage & frequency disturbance occurred in KE network, which resulted into voltage loss (zero voltage) on Dhabeji line and distance protection relay actuated (Zone 2, distance 61.8 Km).
 2. STG # 04 breaker (52G) opened at 0907 hrs on over-frequency (81) and machine switched to FSNL mode.
 3. The machine remained in FSNL mode till 1159 hrs, however, owing to delay in go-ahead by KE for re-synchronization machine stopped at1159 hrs.
 4. After go-ahead from KE, machine was started at 1509 hrs, synchronized at 1559 hrs and load was normalized (55 MWh) at 1724 hrs.",Closed,STG#4,High,KE,,,
133,110,2020,18-Oct-20,"1. On Oct 18, planned shutdown of STG # 04 was taken to energize BOC E05 line after rehabilitation.
 2. Boiler # 2 was also shut down at 1023 hrs to inspect PA fan dampers link inspection & rectification.
 3. After energization of BOC E05 line, STG # 04 was started at 1352 hrs, reached FSNL at 1415 hrs and synchronized at 1458 hrs and reached full load (55.4 MWH) at 1624 hrs.
 4. After PA fan damper inspection & rectification, Boiler # 02 ID fan was started at 1411 hrs and boiler was connected with main HPS header at 1504 hrs.",Open,STG#4,Low,Alstom / Electrical / Mechanical,,,
134,111,2020,1-Nov-20,"1. On Nov 01, 2020 planned shutdown of STG # 04 was taken for insulator replacement job on E02, G9 compartment Dhabeji line.
 2. Machine was stopped at 1107 hrs, after job completion and KE go-ahead STG # 04 was synchronized at 1554 hrs and reached full load at 1719 hrs.",Closed,STG#4,Low,Alstom / Electrical,,,
135,112,2020,21-Nov-20,"1. On Nov 21, 2020 KE requested to decrease power load as per their system requirement. Accordingly, load reduction was started at 2220 hrs and machine reached at 24.6 MW at 2253 hrs and remained at 24.6 MW till 0910 hrs on 23 Nov, 2020.
 2. Load was started to increase after KE go-ahead on 23 Nov, 2020 at 0910 hrs. STG # 04 load was normalized (55 MW) at 0942 hrs.",Closed,STG#4,Low,KE,,,
136,113,2020,24-Nov-20,"1. On 24 Nov, 2020 STG # 04 load was decreased as per KE demand. The load was started to decrease at 0108 hrs and reached 24.5 MW at 0142 hrs.
 2. Load on machine was started to increase on at 0757 (24 Nov, 2020) hrs after go-ahead from KE and load was normalized (55MW) at 0833 hrs.
 3. Again KE requested to reduce Load on machine at 1947 hrs and load was reduced to 30 MW at 2013 hrs.
 4. After KE go-ahead, load on machine started to increase at 0812 hrs (25 Nov, 2020) and normalized (55MW) at 0841 hrs.",Closed,STG#4,Low,KE,,,
137,114,2020,26-Nov-20,"1. On 26 Nov, 2020 STG # 04 load was decreased as per KE demand. The load was started to decrease at 0158 hrs and reached 30 MW at 0225 hrs.
 2. Load on machine was started to increase on at 0806 hrs after go-ahead from KE and load was normalized (55MW) at 0836 hrs.",Closed,STG#4,Low,KE,,,
138,115,2020,27-Nov-20,"1. On 27 Nov, 2020 STG # 04 load was decreased as per KE demand. The load was started to decrease at 0014 hrs and reached 24.5 MW at 0045 hrs.
 2. Load on machine was started to increase at 0914 hrs after go-ahead from KE
 and load was normalized (55MW) at 0948 hrs.
 3. Again KE requested to decrease load on machine, the load was started to
 decrease at 2209 hrs and reached 24.5 MW at 2242 hrs.
 4. After go-ahead from KE load on machine was started to increase at 1709 hrs
 (28-11-2020) and normalized at 1742 hrs.",Closed,STG#4,Low,KE,,,
139,116,2020,17-Dec-20,"1. On 17th Dec 2020 Boiler # 01 tripped at 1737 hrs due to ID Fan Inverter (VFD) failure, MFT actuated after main VCB breaker tripping.
 2. STG # 04 & FFBL Urea plants also tripped as per logic.
 3. GT was taken in service at FFBL.
 4. MPS export was also decreased from 188 Met/h to ~140 Met/h.
 5. After go-ahead from Electrical team, ID fan started on by-pass mode at 1849 hrs. Coal feeding started at 1855 hrs and Boiler was connected with main steam header at 1956 hrs.",Open,B#1,High,E&I,,,
140,117,2020,23-Dec-20,"1. On 23 Dec, 2020 STG # 04 tripped, first out on HMI indicated 86 G2 (generator lockout relay actuation) and K-4 Trip B (trip command from protection relay B). On G 60-B voltage transformer failure (VTF) fault was observed whereas this was not observed on G 60-A.
 2. Electrical team carried out inspection of VTs & fuses, connections tightness verification between VT & relay and two VT module cards were replaced in protection relay B.
 3. After taking remedial actions & loop checking and go-ahead for start-up by Electrical machine was started at 1024 hrs, synchronized at 1055 hrs & load
 was normalized at 1222 hrs.",Open,STG#4,High,Elect. / BHGE,,,
141,66,2019,16-Jan-19,"STG-04 tripped at 0613 hrs due to malfunctioning of ""Safety Relay"". After replacement of the faulty relay with new one, the machine started at 0741 hrs, 
 synchronized at 0805 hrs & reached 52 MW at 0927 hrs.",Closed,STG#4,Critical,E&I,,,
142,67,2019,25-Jan-19,"STG-04 breaker opened at 0922 hrs on 25th Jan 2019 due to outage of both BOC and Dhabeji lines. Machine remained on FSNL for 174 minutes
 
 After normalization & go ahead from KE, machine was resynchronized at 1216 hrs and reached peak load of 55MW at 1316 hrs.",Closed,STG#4,Low,KE,,,
143,68,2019,2-Feb-19,STG-04 breaker opened and machine was stopped manually due to steam availability issue as CFB-1 was shut-down due to maintenance jobs.,Closed,STG#4,No,Mechanical,,,
144,69,2019,4-Feb-19,STG-04 stopped to attend GIS cylinder filling job at grid station,Closed,STG#4,Nil,Electrical,,,
145,70,2019,14-Feb-19,"STG-04 stopped manually due to non availability of boiler # 01 and demand of steam by FFBL for Urea plant start up
 (0914 hrs 14th Feb ~ 1726 hrs 17th Feb)",Closed,STG#4,Nil,Mechanical,,,
146,71,2019,21-Feb-19,STG-04 breaker opened to test modified logic of bypass opening at 1249 hrs,Closed,STG#4,Nil,BHGE,,,
147,72,2019,6-Apr-19,"STG-01 tripped at 1324 hrs due to issue governor control card “SPC Trip”. After preventive replacement of two safety relays and one digital input card, machine was re-started at 1817 hrs and synchronized at 1838 hrs.",Closed,STG#1,Critical,E&I,,,
148,73,2019,3-Apr-19,"STG-04 tripped at 2218 hrs due to malfunctioning of ""Safety Relay"". After replacement of the faulty relay with new one, the machine started at 0111 hrs, Synchronized at 0137 hrs & reached 52 MW at 0305 hrs.",Closed,STG#4,Critical,E&I,,,
149,74,2019,20-Apr-19,Planned shutdown of Boiler # 1 to attend noise coming ID Fan coupling side and subsequent increase in vibration,Closed,B#1,Critical,Mechanical,,,
150,75,2019,4-May-19,CFB Boiler # 1 was tripped upon actuation of the MFT on Furnace Pressure HH +350mmH2O during change over to by pass mode from VFD.,Closed,B#1,Low,Operations,,,
151,76,2019,9-Jun-19,"STG-4 breaker opened at 1724hrs due to disturbance at KE Grid and machine
 remained at FSNL for 24 minutes. On initial investigation, it was revealed that
 the incident occurred after heavy surge observed at 132 KV network, whereas
 voltage swing was recorded from 131KV to 122K.",Closed,STG#4,Low,KE,,,
152,77,2019,6-Jul-19,"STG-04 tripped at 0216 hrs due to disturbance/fault in KE network. After go-ahead from KE, the machine started at 0247 hrs, synchronized at 0311 hrs and reached 54MW at 0433 hrs",Closed,STG#4,Critical,KE,,,
153,78,2019,9-Jul-19,STG-03 Shut down due to governer hunting issue. Servo valve of machine was replaced.,Closed,STG#3,High,E&I,,,
154,79,2019,20-Jul-19,"STG-04 tripped at 0357 hrs due to outage of both ""BOC & DHABEJI"" Lines. After go-ahead from KE, the machine started at 0437hrs, synchronized at 0500 hrs and reached 54MW at 0625 hrs.",Closed,STG#4,Critical,KE / E&I,,,
155,80,2019,22-Jul-19,"STG-04, tripped at 2142 hrs due to outage of both ""BOC & DHABEJI"" Lines. After go-ahead from KE, the machine started at 0009 hr (23-07-19) synchronized at 0033 hr and reached 54 MW at 0202 hr.",Closed,STG#4,Critical,KE,,,
156,81,2019,29-Jul-19,"STG-04, tripped at 0743 hrs due to outage of KE network (Heavy Rainfall). The machine again synchronized twice (1023 hrs & 1310 hrs) but each time
 the breaker opened due to continuous disturbance in the network. Finally as per advise of K.E official, the machine stopped at 1326 hrs. After clearance from K.E the machine started at 0045hrs (30-07-19), synchronized at 0110hrs & reached 54.6 MW at 0236hrs.",Closed,STG#4,Critical,KE / E&I,,,
157,82,2019,5-Aug-19,"Tripping of CFB boiler # 2 due to high vibration security actuation of Secondary
 Air (SA) fan",Closed,B#2,Critical,I&C,,,
158,83,2019,11-Aug-19,"STG-04 tripped twice as a result of outage of both K.E lines at 0258 hrs and again at 0747 hrs. After go-ahead from KE, the machine started/ synchronized/ reached at peak load in both the cases at 0410 hrs/ 0431 hrs/ 0557 hrs and 0840 hrs/ 0908 hrs/ 1034 hrs respectively",Closed,STG#4,Critical,KE / E&I,,,
159,84,2019,17-Aug-19,Outage of Boiler # 1 to attend 02 tube leakages (tube # 64 & 65 on front wall) at lower weld joint elevation EL +16.35 meter. STG # 4 shutdown also along with reduction in steam and power export to FFBL,Closed,B#1,Critical,Maintenance / Technical,,,
160,85,2019,11-Sep-19,Outage of Boiler # 1 to attend 02 tube leakages (tube # 51 & 52 on front wall) at lower weld joint elevation EL +16.35 meter. STG # 4 shutdown also along with reduction in steam and power export to FFBL,Closed,B#1,Critical,Maintenance / Technical (Inspection),,,
161,86,2019,21-Sep-19,Boiler 2 tripped on high furnace pressure due to unintentional wrong command from Boardman to ID fan damper. PA fan west side link bolt found damaged & repaired.,Closed,B#2,Critical,Operations / Mechanical,,,
162,87,2019,7-Oct-19,"CFB Boiler # 01 tripped due to actuation of furnace (draft) ""High Pressure Security"" upon changeover of ID fan from VFD to Bypass mode (sound and area bearing vibrations found increased), which caused the MFT to actuate.",Closed,B#1,Critical,Operations / E & I / Mechanical,,,
163,88,2019,14-Oct-19,CFB Boiler # 02 ID fan VFD panel input breaker fuses blown out and main breaker tripped due to high inrush current owing to short circuiting in VFD panel transformer windings.,Closed,B#2,Critical,E&I / Operations,,,
164,89,2019,8-Nov-19,Outage of Boiler # 2 to attend tube leakages and buildups on eroded tubes. STG # 4 also shut down along with reduction in steam and power export to FFBL.,Closed,B#2,Critical,Mechanical / Inspection / HHI,,,
165,90,2019,3-Dec-19,Due to high circulating current at FFBL & FPCL interconnecting breakers (K-08 & K-16) Gas Turbine Generator (GTG-2) was started at FFBL resulting in low load operation of STG-1 & 2 at FPCL and less power export resulting in CPP loss to FPCL,Open,STG-1 & STG-2,Critical,E&I,,,
166,91,2019,6-Dec-19,Planned outage of Boiler # 1 to attend tube leakages. STG # 4 also shut down along with reduction in steam and power export to FFBL.,Closed,"CFB-1
 STG # 04",Low,Mechanical / Inspection / HHI,,,
167,92,2019,24-Dec-19,"Boiler # 02 tripped on steam drum high level owing to failure of level control valves (LCVs) I/O card failure resulting in full opening of valves. Resultantantly, low BFW flow towards Boiler # 01 and it tripped on steam drum level low. Total Power Failureoccured on plant.",Closed,Total Power Failure ,Critical,E&I,,,
168,93,2019,30-Dec-19,STG-3 tripped on “control oil pressure low low” indication due to malfunctioning of the control oil system “Safety Relay”.,Closed,STG#3,High,E&I,,,
169,37,2018,9-Jan-18,STG-4 tripped at 1653 hrs due to differential Pressure Security (PDI -CE-4010-09) as extraction control was put on auto mode.,Closed,STG#4,Low,OPRS /E&I,,,
170,38,2018,7-Feb-18,"STG-4 tripped at 2114 hrs due to malfunctioning of turbine thrust bearing temperature indication. The faulty indication was bypassed and machine restarted. But it was stopped manually due to increasing trend of Gearbox bearing temperatures observed. 
 
 Tripping due to malfunctioning of turbine thrust bearing temperature & main lube oil pump damage",Closed,STG#4,High,Mechanical,,,
171,39,2018,16-Feb-18,"STG-04 tripped on faulty indication for temperature transmitter (TT-CE-4050-48A/B) for turbine thrust bearing temperature. 
 
 Machine was restarted after bypassing faulty indication (TT-CE-4050-48 A/B).",Closed,STG#4,High,E&I,,,
172,40,2018,19-Feb-18,"STG-4 tripped at 0818 hrs due to actuation of ""long distance"" protection at KE end owing to problem in BOC network and its breaker was opened accordingly.",Closed,STG#4,Critical,E&I,,,
173,41,2018,6-Mar-18,STG-4 tripped on actuation of voltage restraint overcurrent (51V) security on G60 resulting breaker opening and machine tripping by actuation of lock out relay K-86G2A&B,Closed,STG#4,Critical,E&I,,,
174,42,2018,18-Mar-18,"STG-4 tripped STG-4 tripped at 1153 hrs on ""Overspeed"" security due to outage of both (BOC & Dhabeji) lines in K.E network",Closed,STG#4,Critical,E&I,,,
175,43,2018,28-Mar-18,STG#04 tripped on fluctuation in control oil pressure,Closed,STG#4,High,Mechanical,,,
176,44,2018,30-Mar-18,STG#04 breaker opened on Thermal Overload due to BOC line fault but remained on FSNL,Closed,STG#4,Critical,KE,,,
177,45,2018,3-May-18,"STG-4 tripped at 0405 hrs on actuation of Generator Lockout Relay - 86G2 A/B, caused by surge in the K.E Grid.",Closed,STG#4,Critical,KE,,,
178,46,2018,13-May-18,STG-4 tripped at 0555 hrs on actuation of Generator Lockout Relay - 86G2 A/B and CFB Stage-02 Trip from Grid caused by surge in the K.E Grid.,Closed,STG#4,Critical,E&I,,,
179,47,2018,"14-May-18
 to
 21-May-18","Machine had to be manually stopped due to problems in its control system and
 discrepancy between Governor feedback and Command.",Closed,STG#3,Nil,E&I / Mechanical,,,
180,48,2018,20-May-18,"STG-4 tripped at 0308 hrs on “Line distance Relay Protection”. Also, “CFB Stage-02 Trip from Grid” indication appeared on Event Log",Closed,STG#4,Critical,E&I,,,
181,49,2018,6-Jun-18,"Planned shutdown of STG-04 was taken to rectifY difference in temperatures of
 the termination points of 11 KV to 132KV A Transformer. In parallel, modification
 in control system and signal verification to rectify false indication of earthing
 switch was carried out",Closed,STG#4,Nil,E&I,,,
182,50,2018,29-Jun-18,STG-04 tripped on over speed protection due to sudden tripping of both BOC and Dhabeji circuits.,Closed,STG#4,Critical,E&I,,,
183,51,2018,8-Jul-18,"STG-3, tripped at 2118 hrs on “control oil pressure low low” indication due to malfunctioning of the control oil system “Safety Relay”.",Closed,STG#3,High,E&I,,,
184,52,2018,19-Jul-18,STG-04 breaker opened due to actuation of Thermal overload 49OP and 81OP at G60 panel and machine was at FSNL. On resynchronization STG-04 tripped on over speed protection (Max speed 4696 rpm) due to surge in KE Grid once again.,Closed,STG#4,Critical,E&I,,,
185,53,2018,10-Aug-18,"STG-04 tripped at 0240 hrs due to outage of both BOC and Dhabeji lines. After normalization & go ahead from KE, machine was restarted at 0307 hrs and re-synchronized at 0342 hrs and reached peak load of 55MW at 0507 hrs. 
 
 Machine again tripped at 0511 hrs due to outage of both BOC and Dhabeji lines. After normalization & go ahead from KE, machine was restarted at 0545 hrs and re-synchronized at 0610 hrs and reached peak load of 55MW at 0735 hrs. 
 
 On both occasions tripping occurred on over-speed protection.",Closed,STG#4,Critical,E&I,,,
186,54,2018,"11-Aug-18
 12-Aug-18","STG-4, the electrical breaker opened at 2236 hrs due to loss of voltage in both (BOC & Dhabeji) lines followed by turbine tripping at 2240 hrs on actuation of generator lockout relay due (V/Hz) protection actuation on G-60. Machine rolled at 2322 hrs and synchronized at 0147 hrs (18-08-2018) due to delayed KE go-ahead. The Electrical breaker again opened at 0252 hrs due to loss of only available BOC line. Machine again synchronized at 0317 hrs, however breaker again opened at 0320 hrs due to loss of BOC line. Machine re-synchronized at 0347 hrs. The machine reached at peak load at 0439 hrs.",Closed,STG#4,Critical,E&I,,,
187,55,2018,"17-Aug-18
 18-Aug-18","STG-4, the electrical breaker opened at 2236 hrs due to loss of voltage in both (BOC & Dhabeji) lines followed by turbine tripping at 2240 hrs on actuation of generator lockout relay due (V/Hz) protection actuation on G-60. Machine rolled at 2322 hrs and synchronized at 0147 hrs (18-08-2018) due to delayed KE go-ahead. The Electrical breaker again opened at 0252 hrs due to loss of only available BOC line. Machine again synchronized at 0317 hrs, however breaker again opened at 0320 hrs due to loss of BOC line. Machine re-synchronized at 0347 hrs. The machine reached at peak load at 0439 hrs.",Closed,STG#4,Critical,E&I,,,
188,56,2018,6-Sep-18,Due to tripping of CFB Boiler-1 due to tube failure owing to erosion. Over pressurization & Deformation. Weld over failure due to poor workmanship,Closed,B#1,Critical,Tech /Oprs/Mechanical,,,
189,57,2018,5-Oct-18,STG-04 breaker opened at 1245 hrs due to outage of both BOC and Dhabeji lines. After normalization machine was re-synchronized at 1415 hrs and reached peak load of 55MW at 1511 hrs. Machine remained on FSNL for 90 minutes.,Closed,STG#4,Nil,E&I,,,
190,58,2018,11-Oct-18,Boiler # 02 Planned SD for tubes inspection,Closed,B#2,,,,,
191,59,2018,18-Oct-18,STG-04 breaker opened at 1245 hrs due to outage of both BOC and Dhabeji lines. After normalization machine was re-synchronized at 1415 hrs and reached peak load of 55MW at 1511 hrs. Machine remained on FSNL for 90 minutes.,Closed,STG#4,Critical,E&I,,,
192,60,2018,20-Oct-18,STG-04 breaker opened at 1245 hrs due to outage of both BOC and Dhabeji lines. After normalization machine was re-synchronized at 1415 hrs and reached peak load of 55MW at 1511 hrs. Machine remained on FSNL for 90 minutes.,Closed,STG#4,Critical,KE,,,
193,61,2018,12-Nov-18,STG-04 breaker opened at 0623 hrs due to outage of both BOC and Dhabeji lines. After normalization machine was re-synchronized at 0809 hrs and reached peak load of 55MW at 0905 hrs. Machine remained on FSNL for 106 min,Closed,STG#4,Critical,KE,,,
194,62,2018,18-Nov-18,"STG-04 tripped at 0629 hrs due to outage of both BOC and Dhabeji lines. After normalization & go ahead from KE, machine was restarted at 0812 hrs and re-synchronized at 0837 hrs and reached peak load of 55MW at 1002 hrs. Machine remained tripped for 103 min
 
 Voltages on Dhabeji and BOC Circuits becomes dead while STG # 4 tripped on over-speed (4752 rpm) security with breaker open after tripping as AVR not perform.",Closed,STG#4,Critical,E&I,,,
195,63,2018,19-Nov-18,"STG-04 tripped on over speed security at 0352 hrs due to outage of both BOC and Dhabeji lines. After normalization & go ahead from KE, machine was restarted at 0755 hrs, re-synchronized at 0821 hrs and reached peak load of 55MW at 0945 hrs. Machine remained tripped for 243 min, of which 151 min delay was due to KE go ahead.
 
 
 Voltages on Dhabeji and BOC Circuits becomes dead while STG # 4 tripped on over-speed (4752 rpm) security with breaker open after tripping as AVR not perform.",Closed,STG#4,Critical,E&I,,,
196,64,2018,2-Dec-18,"STG-2, tripped at 2053 hrs due to malfunctioning of the “Safety Relay”. DAP Plant & Urea Granulation section tripped on actuation of ELSS as per logic. STG-1, reached up to 19 MW with all parameters remaining normal.STG-2 restarted at 2313 hrs and synchronized at 2328 hrs after replacement of safety relay.",Closed,STG#2,Critical,E&I,,,
197,65,2018,29-Dec-18,STG-1 manually stopped at 2255 hrs on 29th Dec 2018 due to high vibration of the generator DE side bearing (VTX-CE-1080-55). The machine restarted at 0048 hrs and synchronized at 0101 hrs on 30th Dec 2018,Closed,STG#1,Low,BHGE,,,
198,1,2017,13-May-17,"The machine tripped on ""Over flux"" protection during Reliability Run test at 2159 hours.",Closed,STG#4,Low,KE,,,
199,2,2017,26-May-17,"STG 4 breaker opened due to extensive fluctuation in KE distribution network, the Electrical Breaker of the machine opened at 0847 Hrs on ""Thermal Overload"" protection.Machine resynchronized at 0924 Hrs and reached peak load at 1017 Hrs.",Closed,STG#4,Critical,KE,,,
200,3,2017,28-May-17,STG4 (60 MW) breaker opened on “under frequency protection” due to reason of trip was due to huge disturbance in K.E grid system which resulted in opening of the breaker,Closed,STG#4,Critical,KE,,,
201,4,2017,28-May-17,"STG4 (60 MW) tripped on “overflux protection” and reason of trip was due to short circuiting at ""Airport & Gul Ahmed"" Grid.All process parameters were normal.",Closed,STG#4,Critical,KE,,,
202,5,2017,26-May-17,STG-2 planned shutdown to install trip multiplier and dump tube logic.,Closed,STG#2,Nil,OPRS/E&I,,,
203,6,2017,29-May-17,STG-1 planned shutdown to install trip multiplier and dump tube logic.,Closed,STG#4,Nil,OPRS/E&I,,,
204,7,2017,30-May-17,STG4 machine tripped on “over-speed protection”. Machine was operating at 54.6 MW.,Closed,STG#4,Critical,OPRS/E&I,,,
205,8,2017,9-Jun-17,STG3 machine tripped on high vibration of Turbine NDE side bearing (VT-CE-3050 52X) while operating at 9.8MW.,Closed,STG#3,High,Mechanical,,,
206,9,2017,15-Jun-17,STG4 (60 MW) machine tripped twice on “Turbine Thrust Bearing Temp High High”. Machine was operating at 53 MW. Malfunctioning of turbine thrust bearing (active side) temperature indication (TT-CE-4050-45A/B),Closed,STG#4,High,BHGE,,,
207,10,2017,16-Jun-17,Planned shutdown to attend oil leakage at generator side seals,Closed,STG#2,Nil,BHGE,,,
208,11,2017,17-Jun-17,"STG-1 machine breaker was manually shutdown at 2200 hrs to check cause of high temperature at thrust bearing of the turbine.
 Planned shutdown to attend high temperature issue at turbine thrust bearing and TTV passing issues",Closed,STG#1,Nil,BHGE,,,
209,12,2017,20-Jun-17,"Sequential tripping of STG 1, GT 1 and STG 2 resulted in Total Power Failure.",Closed,Total Power Failure ,Critical,BHGE,,,
210,13,2017,28-Jun-17,"Machine tripped on ""Generator Lockout Relay K86G2-A &B”",Closed,STG#4,High,E&I,,,
211,14,2017,30-Jun-17,STG4 machine tripped on “over-speed protection”. Machine was operating at Machine was operating at 53 MW.,Closed,STG#4,Critical,E&I,,,
212,15,2017,3-Jul-17,STG2 machine breaker was manually opened at 1054 hrs to collect reference data for STG-1.,Closed,STG#2,Nil,BHGE,,,
213,16,2017,17-Jul-17,STG3 machine tripped on momentarily high radial vibration of Gearbox high speed shaft (VT-3050-76Y). Machine was operating at 9.8MW.,Closed,STG#3,Low,BHGE,,,
214,17,2017,24-Jul-17,STG2 machine tripped on safety relay status due to “Excitation Off” indication.,Closed,STG#2,Critical,BHGE,,,
215,18,2017,26-Jul-17,STG4 (60 MW) machine tripped on “Turbine Journal Bearing Temp High High”. Machine was operating at 53 MW. Machine tripped on malfunctioning of TE-CE-4050-44 A,Closed,STG#4,High,BHGE,,,
216,19,2017,6-Aug-17,"Sequential Tripping of STG 1, GT 1 and STG 2 resulted in Total Power Failure due to fire on bus duct in MEB
 resulted in Total Power Failure at FPCL and FFBL. (Initiated after fire on bus duct in MEB)",Closed,Total Power Failure ,Critical,Schneider / E&I,,,
217,20,2017,22-Aug-17,STG4 (60 MW) machine tripped on “Generator Lock out Relay Protection K86G2 A/B”,Closed,STG#4,High,BHGE,,,
218,21,2017,28-Aug-17,STG3 machine tripped on “Cumulative Radial Vibration” caused by momentarily high radial vibration of Gearbox high speed shaft (VT-3050-76Y). Machine was operating at 7.2 MW.,Closed,STG#3,High,I/C,,,
219,22,2017,1-Sep-17,STG4 (60 MW) machine tripped on “Generator Lock out Relay Protection K86G2 A/B”,Closed,STG#4,High,BHGE,,,
220,23,2017,8-Sep-17,STG-1 manually stopped to attend job,Closed,STG#1,Nil,BHGE,,,
221,24,2017,8-Sep-17,"Machine tripped on actuation of ""Generator Lockout Relay"".",Closed,STG#1,Low,BHGE,,,
222,25,2017,13-Sep-17,Planned stoppage to incorporate logic with electrical breaker opening,Closed,STG#2,Nil,BHGE / E&I,,,
223,26,2017,23-Sep-17,STG1 machine tripped on actuation of high vibration security of turbine NDE Bearing (VT-CE-1080-35).,Closed,STG#2,High,BHGE / E&I,,,
224,27,2017,26-Sep-17,"STG-3, 03 Cooling Tower fans(B,D,S), 01 closed loop cooling water pump (A) & 01 side stream pump (A) tripped due to Electrical Grounding fault in 01 spare cubical of LV switch gear in Main Electrical Substation.
 
 (ON 26th Sept, at 11:oo PM ground fault occurred in 480V Low Voltage Switchgaer causing LV incoming protection operated on Ground fault sensing , resulting in tripping of Steam Turbine #3 and BOP section of Plant.
 
 Fault occurred in spare cubical section where no breaker was in service i.e. No Load was feeding from faulty section)",Closed,STG#3,Critical,Schneider / E&I,,,
225,28,2017,27-Sep-17,"Tripped on ""Generator Lock out relay""(K-86G2-A/B)",Closed,STG#3,High,E&I,,,
226,29,2017,27-Sep-17,"Tripped on ""Generator Lock out relay""(K-86G2-A/B)",Closed,STG#3,High,E&I,,,
227,30,2017,29-Sep-17,"Tripped on ""Generator Lock out relay""(K-86G2-A/B)",Closed,STG#3,High,E&I,,,
228,31,2017,31-Oct-17,"Tripped on ""Generator Lock out relay""(K-86G2-A/B)",Closed,STG#3,High,E&I,,,
229,32,2017,7-Nov-17,"STG-2 & 3 tripped on actuation of ""Generator Lock out relay""(K-86G2-A/B) due to grounding fault in breaker in SRB substation.",Closed,STG#3,Critical,E&I,,,
230,33,2017,7-Nov-17,"STG-2 tripped on actuation of ""Generator Lock out relay""(K-86G2-A/B)",Closed,STG#3,High,E&I,,,
231,34,2017,1-Dec-17,STG # 4 Machine tripped due to surge in 132 KV pipri line.,Closed,STG#4,High,E&I,,,
232,35,2017,2-Dec-17,Machine tripped due to drop / fluctuations in control oil pressure. Spare parts of control system was not available at site,Closed,STG#4,High,Mechanical,,,
233,36,2017,19-Dec-17,STG # 4 machine breaker opened due to fault in KE network however the machine remained at FSNL,Closed,STG#4,Low,KE,,,
